Datetime,SW_IN,SW_DIF,SW_OUT
2021-01-01T09:00:00.000000000,nan,nan,nan
2021-01-01T09:30:00.000000000,nan,nan,nan
2021-01-01T10:00:00.000000000,41.46558533,35.8477715365,nan
2021-01-01T10:30:00.000000000,80.32583311,61.606449389,nan
2021-01-01T11:00:00.000000000,96.71730478,71.4368803864,nan
2021-01-01T11:30:00.000000000,150.8382078,91.2210484337,nan
2021-01-01T12:00:00.000000000,172.6095467,94.0677357161,nan
2021-01-01T12:30:00.000000000,97.73791211,71.433886589,nan
2021-01-01T13:00:00.000000000,71.929649,56.4106268482,nan
2021-01-01T13:30:00.000000000,83.49978133,59.5008939895,nan
2021-01-01T14:00:00.000000000,127.0532314,58.4486018012,nan
2021-01-01T14:30:00.000000000,104.3772646,39.7823884382,nan
2021-01-01T15:00:00.000000000,62.000077,nan,nan
2021-01-02T09:00:00.000000000,nan,nan,nan
2021-01-02T09:30:00.000000000,nan,nan,nan
2021-01-02T10:00:00.000000000,38.26539289,33.8102815177,nan
2021-01-02T10:30:00.000000000,68.57239878,55.540203445,nan
2021-01-02T11:00:00.000000000,91.59450022,69.4831635661,nan
2021-01-02T11:30:00.000000000,101.0124923,74.4532564307,nan
2021-01-02T12:00:00.000000000,95.74360811,71.2987661417,nan
2021-01-02T12:30:00.000000000,114.8929344,77.3964581125,nan
2021-01-02T13:00:00.000000000,80.66348289,60.0534200271,nan
2021-01-02T13:30:00.000000000,104.3243187,63.4996345217,nan
2021-01-02T14:00:00.000000000,98.08445311,51.2831241039,nan
2021-01-02T14:30:00.000000000,66.79941411,33.4127912672,nan
2021-01-03T10:00:00.000000000,nan,nan,nan
2021-01-03T10:30:00.000000000,41.07628378,36.1919691407,nan
2021-01-03T11:00:00.000000000,63.86088322,52.9021363227,nan
2021-01-03T11:30:00.000000000,81.433522,64.2151668766,nan
2021-01-03T12:00:00.000000000,60.16662656,50.7445271606,nan
2021-01-03T12:30:00.000000000,38.24914778,34.2883040451,nan
2021-01-03T13:00:00.000000000,49.35316056,42.207499895,nan
2021-01-03T13:30:00.000000000,34.67573144,30.6570613499,nan
2021-01-03T14:00:00.000000000,nan,nan,nan
2021-01-03T14:30:00.000000000,nan,nan,nan
2021-01-04T10:30:00.000000000,nan,nan,nan
2021-01-04T11:00:00.000000000,nan,nan,nan
2021-01-04T11:30:00.000000000,nan,nan,nan
2021-01-04T12:00:00.000000000,45.06386011,39.8390504938,nan
2021-01-04T12:30:00.000000000,49.30067133,42.9204840677,nan
2021-01-04T13:00:00.000000000,79.68063589,62.015451243,nan
2021-01-04T13:30:00.000000000,42.65577044,37.0470009286,nan
2021-01-04T14:00:00.000000000,46.63053678,38.7677905718,nan
2021-01-04T14:30:00.000000000,33.79500133,nan,nan
2021-01-04T15:00:00.000000000,33.46086878,nan,nan
2021-01-04T15:30:00.000000000,nan,nan,nan
2021-01-05T10:30:00.000000000,nan,nan,nan
2021-01-05T11:00:00.000000000,nan,nan,nan
2021-01-05T11:30:00.000000000,nan,nan,nan
2021-01-05T12:00:00.000000000,nan,nan,nan
2021-01-05T12:30:00.000000000,34.16187833,31.0383089473,nan
2021-01-05T13:00:00.000000000,34.68999856,31.2004675144,nan
2021-01-05T13:30:00.000000000,nan,nan,nan
2021-01-05T14:00:00.000000000,nan,nan,nan
2021-01-05T14:30:00.000000000,nan,nan,nan
2021-01-06T10:00:00.000000000,nan,nan,nan
2021-01-06T10:30:00.000000000,36.58225044,32.8168495422,nan
2021-01-06T11:00:00.000000000,45.44045778,40.0208182698,nan
2021-01-06T11:30:00.000000000,65.03110644,54.2649974769,nan
2021-01-06T12:00:00.000000000,80.07883422,63.6642786167,nan
2021-01-06T12:30:00.000000000,121.4955037,82.0898873363,nan
2021-01-06T13:00:00.000000000,86.64825422,64.8780702683,nan
2021-01-06T13:30:00.000000000,65.23625222,51.1445125277,nan
2021-01-06T14:00:00.000000000,83.810693,55.3410564897,nan
2021-01-06T14:30:00.000000000,68.37586144,42.4001085192,nan
2021-01-06T15:00:00.000000000,63.77751422,nan,nan
2021-01-07T09:00:00.000000000,nan,nan,nan
2021-01-07T09:30:00.000000000,39.45344711,33.4335878067,nan
2021-01-07T10:00:00.000000000,51.53500089,43.0238994552,nan
2021-01-07T10:30:00.000000000,104.6956762,73.641725797,nan
2021-01-07T11:00:00.000000000,78.69603867,62.426389053,nan
2021-01-07T11:30:00.000000000,70.64802056,57.999731048,nan
2021-01-07T12:00:00.000000000,162.2689622,95.541652133,nan
2021-01-07T12:30:00.000000000,271.21196,77.9737921265,nan
2021-01-07T13:00:00.000000000,174.7385289,88.2334408108,nan
2021-01-07T13:30:00.000000000,115.6572048,72.7891020085,nan
2021-01-07T14:00:00.000000000,121.4670602,64.4053046439,nan
2021-01-07T14:30:00.000000000,83.23539656,47.4237542603,nan
2021-01-07T15:00:00.000000000,42.03905744,nan,nan
