Startdate,Nominaldate,Stopdate
12-16,01-03,01-15
12-26,01-13,01-25
01-06,01-24,02-05
01-16,02-03,02-15
01-26,02-13,02-25
02-03,02-21,03-05
02-04,02-22,03-05
02-13,03-03,03-15
02-14,03-03,03-15
02-23,03-13,03-25
02-24,03-13,03-25
03-06,03-24,04-05
03-16,04-03,04-15
03-26,04-13,04-25
04-05,04-23,05-05
04-15,05-03,05-15
04-25,05-13,05-25
05-06,05-24,06-05
05-16,06-03,06-15
05-26,06-13,06-25
06-05,06-23,07-05
06-15,07-03,07-15
06-25,07-13,07-25
07-06,07-24,08-05
07-16,08-03,08-15
07-26,08-13,08-25
08-06,08-24,09-05
08-16,09-03,09-15
08-26,09-13,09-25
09-05,09-23,10-05
09-15,10-03,10-15
09-25,10-13,10-25
10-06,10-24,11-05
10-16,11-03,11-15
10-26,11-13,11-25
11-05,11-23,12-05
11-15,12-03,12-15
11-25,12-13,12-25
12-06,12-24,01-05
